"","Sample1","Sample2","Sample3","Sample4","Sample5","Sample6","Sample7","Sample8","Sample9","Sample10","Sample11","Sample12","Sample13","Sample14","Sample15","Sample16","Sample17","Sample18","Sample19","Sample20"
"Gene211",1916,7793,4337,6424,3884,4789,2311,2211,6462,2239,4060,870,6815,7005,7896,7839,5345,2779,5523,4633
"Gene212",5731,23789,12701,19639,11649,14418,7011,6469,19722,6758,12096,2539,20957,20845,23617,23492,15664,8292,16592,13966
"Gene213",8224,33182,17902,27340,15826,19994,9707,9298,27160,9355,16672,3465,28896,29005,32546,32739,21633,11466,23301,19780
"Gene214",22694,92534,49159,75215,44536,55785,27204,25601,75991,25932,46403,9684,80839,80551,91763,90476,60935,32030,64294,54142
"Gene215",1028,4215,2292,3423,2090,2523,1230,1129,3571,1173,2058,443,3649,3622,4218,4033,2808,1340,2874,2410
"Gene216",6964,27647,14906,22652,13553,16939,8236,7767,22871,7864,14003,2941,24559,24336,27285,27431,18346,9667,19438,16269
"Gene217",7438,30303,16177,24916,14405,18099,8829,8430,24680,8506,15339,3161,26327,26508,29326,29511,19810,10408,21295,17682
"Gene218",4226,17055,9140,14328,8308,10208,5023,4758,14335,4887,8600,1758,15102,14702,17050,16690,11349,6023,12091,10144
"Gene219",11333,46297,24373,37526,22056,27509,13516,12689,38210,13011,23174,4980,40194,40328,44895,45026,30099,15954,32330,27153
"Gene220",1125,4728,2446,3701,2230,2744,1434,1247,3869,1320,2407,498,4059,4050,4658,4491,3079,1620,3208,2685
"Gene221",8525,33856,18067,27830,16273,20533,9907,9372,28048,9578,17020,3568,29628,29580,33548,32979,22175,11435,23351,19950
"Gene222",4225,16518,8877,13621,7890,9968,4694,4595,13666,4585,8242,1736,14543,14493,16356,16254,10807,5620,11496,9786
"Gene223",22100,89223,47864,73558,42693,53624,26260,24541,73467,25150,44953,9409,78097,77520,88100,86881,58863,30869,62196,52589
"Gene224",5724,23389,12391,19225,11225,13944,6865,6635,19414,6672,11777,2407,20436,20401,22945,23147,15355,8102,16306,14021
"Gene225",7283,29472,16027,24430,14110,17888,8710,8211,24285,8440,14986,3056,25848,25680,29223,29394,19746,10349,20582,17582
"Gene226",5449,21824,11621,17621,10503,12965,6316,6046,18137,6146,11110,2287,19029,19085,21409,21152,14208,7343,15243,12776
"Gene227",5067,20728,11220,17044,9949,12266,6016,5626,17042,5836,10540,2205,18110,18163,20691,20416,13807,7158,14503,12315
"Gene228",206,924,414,756,437,529,264,239,727,280,430,101,802,805,940,889,568,300,636,538
"Gene229",6097,24971,13346,20369,11846,14899,7413,7098,20506,7045,12787,2621,21651,21320,24230,24059,16189,8624,17365,14599
"Gene230",4147,16463,8980,13553,8008,9998,4876,4624,13783,4465,8218,1743,14352,14445,16234,16085,10825,5727,11664,9703
"Gene231",1269,5159,2808,4399,2495,3152,1578,1466,4165,1439,2669,527,4531,4610,5226,5118,3457,1840,3610,3082
"Gene232",1846,7267,3851,5891,3412,4281,2179,2057,5805,2064,3563,724,6203,6034,7004,6957,4581,2417,4897,4272
"Gene233",5452,21842,11675,17897,10538,13309,6520,6151,18059,6200,11117,2277,19095,19303,21737,21497,14581,7518,15333,12829
"Gene234",4164,16441,8922,13379,7951,9939,4918,4501,13701,4670,8404,1693,14653,14496,16293,16305,10742,5677,11426,9697
"Gene235",1897,7832,4238,6399,3715,4747,2269,2105,6551,2202,4004,817,6736,6694,7839,7516,5099,2713,5446,4556
"Gene236",1943,8293,4303,6610,3969,5064,2437,2198,6742,2341,4078,823,7241,7133,8116,8174,5504,2853,5827,4775
"Gene237",2724,11315,5956,9143,5343,6680,3283,3107,9339,3170,5636,1177,9867,9855,11066,10821,7194,3708,7717,6723
"Gene238",3306,13574,7153,11150,6350,8165,4076,3659,11118,3807,6862,1411,11874,11806,13490,13281,8881,4644,9392,8084
"Gene239",2618,10792,5717,8712,5034,6476,3133,2978,8735,3113,5491,1094,9127,9309,10342,10486,6920,3727,7450,6339
"Gene240",1856,7506,4003,6223,3536,4488,2115,2097,6029,2147,3706,799,6529,6472,7223,7351,4843,2481,5028,4294
"Gene241",1499,6407,3353,5344,3130,3841,1903,1726,5380,1861,3128,708,5598,5722,6342,6259,4083,2234,4388,3859
"Gene242",21671,86856,47040,71842,41989,52246,25898,23974,72190,24477,44086,9122,76275,76312,86611,86022,57238,30174,60735,51390
"Gene243",1283,5197,2813,4356,2490,3175,1502,1397,4238,1467,2642,558,4529,4428,5108,5093,3394,1838,3657,3134
"Gene244",5289,21473,11538,17933,10425,13140,6339,5899,17851,6136,10833,2308,19008,18687,21411,21300,14270,7562,15136,12761
"Gene245",4348,17528,9593,14708,8718,10731,5185,4914,14572,5020,9036,1901,15719,15437,17614,17341,11766,6191,12238,10529
"Gene246",12147,49358,26328,40379,23849,29446,14618,13578,40774,13929,24957,5217,43108,43267,48500,48548,32285,16963,34337,29215
"Gene247",3513,14122,7541,11725,6707,8482,4258,3978,11854,3993,7219,1453,12492,12234,14069,13791,9403,4925,9835,8368
"Gene248",7064,28490,15140,23533,13916,17263,8463,7833,23649,8012,14329,3042,24873,24724,28254,27845,18807,9938,19882,16570
"Gene249",2833,11270,5941,9417,5524,6688,3291,3077,9370,3236,5758,1221,9730,9845,11041,11024,7532,3951,7902,6482
"Gene250",1421,5644,3036,4760,2750,3386,1658,1573,4770,1636,2850,575,4870,4863,5724,5455,3580,1969,4055,3278
"Gene251",10136,40983,21970,33361,19601,24562,12026,11382,33807,11546,20651,4294,35899,35474,40633,39724,26855,13958,28493,24198
"Gene252",13492,55213,29831,45348,26452,32787,16528,15663,45547,15615,27855,5819,48729,48108,54948,54118,36264,19246,38735,32597
"Gene253",16396,66137,35259,53816,31551,39588,19228,17973,54411,18531,33376,6895,57401,57690,65074,64688,43776,22690,45889,38849
"Gene254",16583,66941,35985,55116,32530,40388,20008,18721,55335,18837,33857,7063,58783,59069,66497,65932,44200,23443,46785,39372
"Gene255",1362,5461,3064,4640,2686,3326,1624,1514,4483,1563,2774,617,4840,4769,5529,5471,3714,1932,3872,3489
"Gene256",9495,38229,20675,31512,18281,23156,11181,10447,31520,10767,19351,3952,33408,33103,37967,37516,25236,13174,27098,22616
"Gene257",2072,8282,4367,6744,3902,4878,2404,2303,6666,2340,4074,843,7192,6968,8021,7954,5375,2876,5594,4875
"Gene258",3402,13403,7250,10785,6442,8014,3916,3571,11041,3719,6748,1436,11824,11500,13126,12971,8856,4585,9426,7915
"Gene259",6088,24519,13163,20271,11701,14666,7307,6601,20110,7034,12521,2649,21401,21237,24209,24228,16202,8541,17040,14626
"Gene260",18010,72562,39154,59810,34895,43677,21448,20077,59771,20450,37106,7583,63783,63150,71431,71513,48009,25551,50855,43110
"Gene261",18716,74838,40658,61871,36005,45276,22041,20815,62113,21161,37997,7921,65854,65407,74532,74374,49755,25930,52351,44120
"Gene262",8202,32357,17532,26680,15654,19738,9608,8925,26919,9013,16490,3390,28580,28217,32321,31914,21161,11101,22764,19248
"Gene263",11998,48336,25763,39765,23230,29105,14284,13448,40050,13552,24568,5078,42246,42145,47708,47456,32134,16768,33844,28335
"Gene264",2240,9458,5088,7797,4528,5677,2759,2651,7877,2806,4803,987,8220,8294,9336,9373,6220,3243,6576,5566
"Gene265",2485,10376,5456,8446,4894,6170,3000,2753,8401,2867,5219,1065,8817,8888,10136,10038,6725,3613,7189,6134
"Gene266",807,3216,1743,2609,1538,1882,933,876,2746,910,1644,340,2847,2792,3212,3104,2083,1108,2287,1901
"Gene267",4480,18405,9776,15011,8848,10925,5339,5109,14839,5271,9211,1931,16211,15947,17837,17913,11996,6242,12841,10914
"Gene268",6994,28185,14932,23042,13515,16971,8112,7576,23037,7824,14054,3018,24590,24508,27706,27486,18437,9571,19501,16558
"Gene269",11929,49183,26469,40199,23520,29806,14529,13494,40654,14021,24851,5240,43193,43133,48524,47939,32633,17219,34400,28952
"Gene270",1611,6388,3468,5239,3075,3846,1914,1764,5298,1782,3230,679,5647,5567,6309,6392,4272,2244,4334,3797
"Gene271",9255,38010,20559,31300,18200,23120,11327,10418,31754,10680,19212,3879,33542,33363,38060,37194,24790,13094,26416,22278
"Gene272",3015,12478,6676,10171,5985,7452,3729,3462,10162,3494,6259,1340,10999,10837,12158,12211,8265,4358,8753,7332
"Gene273",2787,11454,6381,9613,5525,7007,3416,3119,9411,3236,5851,1263,10265,10292,11370,11306,7664,4016,8087,6956
"Gene274",6781,27617,14794,22434,13247,16433,8011,7489,22502,7814,13757,2787,24183,23838,27151,26816,18103,9411,19098,16388
"Gene275",5222,21409,11691,17818,10355,13050,6425,5808,17791,5974,10849,2221,18987,18707,21330,21012,14088,7588,15090,12497
"Gene276",10594,42377,22885,34892,20608,25791,12557,11921,35484,12168,21839,4500,37714,37093,41901,42455,28050,14517,29872,25334
"Gene277",2713,10888,5823,9182,5301,6651,3205,3034,9172,3081,5599,1168,9521,9483,10926,10769,7173,3754,7704,6458
"Gene278",6863,27354,14814,22535,13063,16585,8090,7524,22769,7633,13784,2971,24167,23830,27272,27017,17752,9660,19284,16261
"Gene279",10370,42013,22722,34531,20120,25187,12206,11541,34698,11877,20841,4370,36881,36245,41633,40981,27473,14488,29546,24947
"Gene280",30199,122543,66336,100521,59232,73784,36467,34193,101071,34566,61927,12923,107678,106990,121306,120542,80595,42321,85931,72339
"Gene281",3895,15575,8436,12722,7504,9455,4663,4267,13093,4435,7832,1593,13836,13529,15580,15471,10094,5343,10907,9082
"Gene282",4769,18997,10250,16181,9282,11459,5731,5488,15975,5405,9700,1940,16901,16756,19178,18893,12690,6668,13478,11342
"Gene283",8894,36509,19684,30141,17448,21886,10605,10325,29787,10492,18262,3850,32255,31549,35829,35715,24097,12420,25825,21398
"Gene284",3474,14148,7560,11656,6824,8442,4128,3757,11529,3910,7183,1420,12462,12424,13895,13864,9175,4873,9915,8174
"Gene285",7152,29577,15831,24349,14424,17825,8553,8158,24478,8354,14952,3123,26286,25904,29166,29138,19199,10194,20660,17390
"Gene286",3475,14463,7735,11734,6880,8623,4190,3947,11918,3994,7284,1492,12350,12399,14200,13874,9416,5011,9835,8374
"Gene287",10600,43419,23042,35392,20613,25929,12719,12076,35837,12242,21674,4455,37895,37673,42997,42298,28331,15131,30199,25410
"Gene288",1353,5557,3075,4680,2745,3343,1629,1564,4494,1570,2876,609,4842,4897,5435,5605,3598,1967,3814,3272
"Gene289",1332,5606,3038,4593,2702,3407,1557,1494,4676,1690,2818,555,4797,4899,5482,5369,3647,1894,3868,3297
"Gene290",17109,69339,37090,57032,33636,41802,20404,19001,57273,19819,34901,7339,60796,60543,68487,68007,45940,23979,48707,40754
"Gene291",6040,24197,13236,19916,11680,14583,7134,6554,20291,6777,12272,2500,21357,21017,24296,23755,16163,8436,17011,14484
"Gene292",1601,6543,3574,5381,3263,4010,1982,1700,5407,1890,3305,746,5706,5880,6464,6467,4338,2216,4521,3944
"Gene293",2086,8416,4559,6867,4044,5072,2479,2341,6929,2317,4257,910,7458,7314,8395,8269,5460,2840,5915,4953
"Gene294",2114,8403,4670,6936,4082,5031,2471,2361,6976,2385,4356,849,7315,7440,8461,8421,5581,2940,6109,5079
"Gene295",2488,9940,5135,8052,4793,6030,2868,2715,8209,2867,4943,1131,8805,8571,9763,9767,6508,3433,6934,5808
"Gene296",432,1782,994,1458,886,1064,519,514,1465,503,883,191,1582,1598,1715,1736,1230,627,1206,1055
"Gene297",6107,24569,13144,20189,11650,14342,7221,6832,20324,6811,12312,2648,21578,21370,24403,24270,16172,8489,17011,14402
"Gene298",1388,5593,3028,4583,2782,3385,1697,1585,4584,1640,2804,558,4914,4921,5665,5625,3655,2010,3939,3342
"Gene299",3107,12616,6800,10272,6020,7433,3689,3510,10381,3575,6374,1335,11086,11079,12498,12345,8345,4299,8658,7387
"Gene300",4741,19133,10588,15683,9403,11803,5661,5366,15785,5339,9785,2037,16813,16901,18962,19056,12674,6614,13504,11495
"Gene301",10279,41891,22387,34641,20265,25211,12143,11644,34297,11824,21147,4381,36475,36488,41309,41186,27567,14422,29003,24777
"Gene302",1078,4105,2174,3436,1965,2505,1227,1154,3469,1199,2112,420,3565,3565,4136,4098,2705,1445,2969,2524
"Gene303",9548,38785,20953,32184,18676,23506,11252,10523,31923,10935,19704,4143,33700,33744,38080,37944,25579,13461,26992,22986
"Gene304",3107,12282,6748,10431,5946,7564,3694,3478,10263,3518,6207,1274,11047,10883,12253,12139,8264,4253,8780,7328
"Gene305",4073,16309,8776,13618,8080,9784,4832,4631,13486,4536,8324,1737,14382,14351,16354,16117,10945,5595,11388,9729
"Gene306",2189,8969,4861,7343,4283,5463,2686,2536,7318,2586,4530,931,7731,7739,8669,8572,5906,3031,6135,5343
"Gene307",7914,32247,17143,26479,15521,19343,9526,8934,26759,9122,16183,3376,27887,28236,32149,31248,21231,11136,22790,19126
"Gene308",7671,31471,16993,26161,15114,18952,9254,8726,26087,8809,15703,3407,27488,27325,30843,30959,20735,10708,22097,18522
"Gene309",2481,10052,5576,8509,4917,6218,2991,2820,8485,2907,5129,1080,8868,8839,10051,10092,6752,3515,7278,6001
"Gene310",9678,39211,20862,32502,18603,23796,11471,10985,32300,11078,19722,4199,34335,33856,38824,38219,25864,13694,27632,23365
"Gene311",2814,11076,5908,9198,5318,6665,3289,3153,9437,3255,5740,1228,9782,9957,11084,11074,7499,3879,7871,6858
"Gene312",4932,19716,10871,16316,9623,11903,5787,5565,16191,5738,10086,2149,17470,17235,19908,19568,13137,7090,13919,11739
"Gene313",13445,54302,29008,44520,25808,32478,15933,14808,44653,15369,27513,5642,47573,47570,53469,53379,35810,18902,37910,31862
"Gene314",5895,23744,12897,19957,11496,14363,7157,6484,19661,6750,12021,2479,20939,20484,23757,23367,15630,8251,16769,14082
"Gene315",5964,23811,12635,19720,11604,14228,7006,6460,19375,6743,12043,2479,20819,20575,23455,23160,15611,8179,16718,13906
"Gene316",2312,9356,5117,7615,4403,5656,2771,2609,7697,2676,4727,985,8202,8152,9230,9299,6040,3134,6553,5449
"Gene317",5207,20687,11177,17135,10038,12457,6115,5771,17089,5876,10422,2193,18041,18113,20387,20406,13796,7266,14457,12121
"Gene318",259,1141,626,913,516,670,336,337,918,325,554,107,1017,974,1173,1080,700,393,833,635
"Gene319",2016,8365,4423,6631,3973,4812,2408,2308,6724,2375,4111,789,7140,7042,8156,7915,5488,2754,5602,4910
"Gene320",3753,15717,8325,12831,7545,9384,4634,4397,13028,4351,7949,1667,13880,13616,15457,15208,10332,5494,10787,9271
"Gene321",16335,65855,35143,54050,31791,39559,19309,18301,54327,18751,33023,6971,57611,57525,65335,64974,43313,22647,45803,39014
"Gene322",11848,48232,25671,39809,23371,28985,14224,13304,40092,13597,24365,5222,42251,42113,47623,47330,31962,16697,33741,28461
"Gene323",18304,74316,39581,60807,35744,44890,21824,20403,61493,20950,37274,7806,65237,64750,73457,72703,48669,25633,51456,43682
"Gene324",6275,25313,13568,20711,12266,15410,7573,7000,21003,6973,12670,2692,22132,22211,25156,24939,16676,8745,17896,15105
"Gene325",2981,12347,6841,10295,6035,7423,3721,3418,10228,3655,6268,1360,10883,10810,12300,12118,7999,4391,8571,7380
"Gene326",2788,11191,5909,9176,5278,6745,3339,3029,9102,3136,5655,1141,9547,9603,10864,10692,7263,3897,7723,6592
"Gene327",9188,37341,20026,30647,17678,22353,11012,10460,30800,10487,18910,3945,32468,32248,36923,36821,24654,12943,26121,22103
"Gene328",9317,37194,19757,30602,17995,22392,11035,10317,30545,10745,18678,3867,32734,32499,37032,36249,24676,12827,25791,22182
"Gene329",4313,17800,9559,14580,8539,10712,5314,4728,14689,4964,9063,1790,15520,15457,17730,17396,11655,6204,12229,10495
"Gene330",6486,26751,14299,21953,12735,16135,7726,7324,22047,7513,13476,2884,23535,23175,26585,26422,17787,9203,18627,15674
"Gene331",747,2845,1473,2434,1374,1708,807,786,2316,837,1528,327,2528,2602,2819,2864,1975,993,1990,1658
"Gene332",4085,16545,8939,13836,8012,9940,4793,4583,13761,4544,8431,1725,14600,14213,16305,16359,10819,5873,11840,9810
"Gene333",6368,25754,13750,21125,12373,15678,7515,7059,21139,7242,12965,2782,22378,22199,25272,25229,17086,9063,17881,15055
"Gene334",3411,13892,7607,11641,6578,8369,4059,3828,11366,3864,7046,1432,12229,12283,13845,13724,9157,4776,9552,8238
"Gene335",8984,36043,19241,29196,17166,21398,10458,10040,29516,10242,18038,3961,31681,31416,35573,34989,23719,12468,24901,21247
"Gene336",7300,29186,15961,24287,13997,17570,8684,8067,24231,8398,14817,3052,25594,25608,29324,28922,19185,10355,20660,17189
"Gene337",2953,12000,6563,9905,5747,7157,3478,3321,9972,3445,6110,1244,10551,10337,11993,11798,7999,4019,8458,7167
"Gene338",4405,17871,9523,14722,8555,10749,5264,5006,14917,5111,9064,1851,15473,15465,17571,17671,11797,6217,12486,10668
"Gene339",2020,8194,4342,6633,3918,4779,2499,2283,6706,2294,4245,862,7167,6951,8144,7960,5441,2883,5807,4870
"Gene340",7980,32313,17367,26829,15713,19558,9558,8975,26916,8995,16461,3377,28250,27903,32165,31630,21365,11121,22540,19129
"Gene341",9964,40331,21982,33671,19606,24493,11914,11444,33708,11308,20610,4216,35414,35563,40070,39721,26369,14002,28280,23819
"Gene342",8616,35262,18845,28824,16705,20923,10122,9648,28807,9962,17656,3611,30738,30462,34592,34237,23156,12183,24230,20669
"Gene343",6424,26724,14507,21799,12827,15930,7884,7396,21963,7396,13501,2852,23381,23395,26225,26010,17700,9182,18534,15530
"Gene344",3095,12836,6836,10338,6126,7675,3689,3477,10383,3638,6407,1379,11083,11044,12566,12528,8351,4495,8892,7480
"Gene345",5506,21403,11725,17716,10351,12920,6399,5917,17966,5994,10607,2242,18903,18887,21374,21170,14284,7415,15239,12581
"Gene346",8836,35594,19312,29516,17134,21943,10677,10080,29684,10275,18301,3754,31399,31165,35649,35187,23890,12396,25049,21019
"Gene347",7933,32148,17056,26209,15395,19220,9323,8890,26472,9085,16345,3322,28225,28314,31587,31474,21061,11185,22289,19206
"Gene348",4490,18517,9948,15131,8862,10996,5302,5214,15024,5190,9397,1874,16173,15656,18073,18019,11954,6292,12888,10936
"Gene349",2417,9857,5267,8016,4736,5881,2969,2641,8051,2763,4785,1050,8414,8590,9726,9491,6421,3350,6653,5670
"Gene350",5019,19875,10741,16297,9717,12177,5949,5434,16469,5625,10268,2150,17518,17448,19947,19642,13187,6932,14111,11805
"Gene351",2744,11058,5747,9062,5358,6655,3301,3128,9215,3097,5546,1123,9566,9528,10913,10715,7211,3783,7684,6352
"Gene352",5911,24105,12922,19897,11564,14713,7125,6694,20134,6848,12254,2608,21104,21171,23808,23877,16165,8289,16876,14541
"Gene353",1105,4472,2455,3636,2151,2707,1331,1297,3628,1283,2229,451,3901,3987,4399,4501,2928,1578,3041,2641
"Gene354",2714,10705,5738,8753,5103,6572,3261,2905,8950,2980,5400,1086,9120,9472,10675,10547,6940,3617,7424,6190
"Gene355",9092,37458,20164,30662,18039,22568,10947,10283,30831,10380,18683,3871,32815,32665,36929,36287,24328,12892,25989,21873
"Gene356",7243,29146,15530,23921,13855,17385,8772,8058,24034,8110,14641,3041,25585,25720,28929,28241,19017,10005,20370,17280
"Gene357",9756,39606,21185,32536,18897,23763,11733,11031,32768,10914,19973,4093,34302,34217,39019,39114,25944,13630,27437,23227
"Gene358",4684,19323,10322,15857,9250,11348,5751,5296,15930,5373,9729,2010,16697,16663,18781,18878,12599,6639,13521,11192
"Gene359",4018,16762,9012,13737,8011,10056,4902,4733,13707,4706,8354,1728,14637,14521,16507,16716,10793,5791,11746,9905
"Gene360",5857,23793,12799,19731,11356,14584,7189,6691,19750,6821,12071,2523,20961,20624,23781,23665,15727,8127,16813,14339
"Gene361",4887,20039,10740,16475,9539,11956,5887,5479,16699,5573,10213,2052,17517,17344,19926,19758,13201,6838,13975,11747
"Gene362",8328,34122,18106,27882,16320,20443,9955,9253,28032,9575,17196,3598,29446,29638,33365,33337,22406,11712,23732,20033
"Gene363",3634,14548,7803,11911,7013,8742,4312,3870,11936,4123,7283,1601,12775,12791,14365,14023,9515,4901,10073,8617
"Gene364",5929,24728,13458,20324,11928,14894,7102,6778,20534,6743,12410,2543,21465,21562,24630,24060,16203,8408,17047,14502
"Gene365",3812,15768,8313,13024,7613,9517,4674,4191,12992,4370,8058,1706,13835,13697,15585,15457,10394,5465,11222,9342
"Gene366",2877,11512,6031,9555,5607,6956,3443,3158,9476,3217,5954,1193,10014,10092,11570,11278,7663,3899,8009,6801
"Gene367",3027,12315,6598,10203,6109,7402,3631,3450,10069,3573,6407,1283,11029,10850,12352,12047,8185,4450,8820,7417
"Gene368",5485,21978,11726,18048,10521,13094,6507,6015,18100,6193,11178,2266,19180,19016,21683,21546,14521,7532,15530,12972
"Gene369",16245,66153,35495,54697,31760,39768,19541,18467,54252,18820,33050,6875,57606,57792,64675,64684,43682,22912,46306,38913
"Gene370",3316,13886,7234,11366,6755,8202,4096,3722,11514,3901,6906,1414,12065,11960,13542,13519,9054,4735,9666,8041
"Gene371",13932,56471,29997,46637,26913,33991,16755,15460,46462,15960,28413,6036,49392,48883,55585,55490,37201,19301,39097,33587
"Gene372",6179,24766,13691,20524,11952,15216,7453,6978,20729,7129,12729,2692,21837,21938,24693,24418,16586,8666,17576,14927
"Gene373",5601,22389,12139,18483,10867,13500,6554,6288,18440,6380,11460,2374,19734,19779,22382,21887,14964,7793,15646,13097
"Gene374",5108,20886,11233,17189,9918,12618,6176,5819,17196,5858,10597,2250,18496,18005,20610,20815,13754,7130,14594,12367
